Location,Manjanggul,Bijarim,Seopjikoji,Seongsanilchul Provincial Marine Park,Jeongbang Waterfall,Xu Fu exhibition,Chilshimni food specialized street,Jusangjeolli,Cheonjiyeon Waterfall,Saeyeongyo office,Sanbangsan Mountain,The mystery of the road,Jejumok government office,Jeju Natural World Heritage Center,Halla Arboretum,Historic Site of Anti-Yuan Movement,Jeolmul Natural Recreation Forest,Bulgeun Oreum Natural Recreation Forest,Museum of Contemporary Art,11Course,The Museum of Sex Health,Andeok Valley,9Course,Daejeong-eup,Andeok-myeon,7Course,Jungmun Tourist Complex,Jungmun Marine Park Pacificland,Cheonjeyeon Falls,Ripley's Believe It or Not! Museum,Teddy Bear Museum,Play K-Pop Jeju,World Car Museum,Hwasun Gotjawal eco-tourism attractions forest,Songaksan,Footprints hwaseokjji Management Office,Four Seasons beach,Four Seasons coast road,Hwasun golden sand beach,Mara Provincial Marine Park,Seogwipo Cross-country Bus Terminal,Seogwipo Astronomical Science and Culture Center,Museum of world shell,Gidang Art Museum,Soingook Theme Park,hyeopjjae beach,Suwolbong Peak,Sinjeju Rotary,off-season training camp,Jeju pottery Museum,Jeju kanran exhibition,The culture street of pine park,Lee Joong-sup street,Seogwipo City Lee Joong-sup Art Gallery,Jungangno cross road,Pyoseon-myeon,Pyoseon daily gym,1Course,2Course,5Course,Gujwa gym,Jeju National Museum,Jeju National Sports Center,Namwon-eup,Dodubong Park,Donnaeko,Sarabong Park,Seongsan-eup,Sinyang seopjikoji the beach,Jeju Folk Village Museum,Pyoseon Haevichi beach,Jeju Pony Town,Hayo soesokkak the beach,Honinji Pond,Jungang Rotary,Seongsanpo Shell Museum,Pony Valley,Museum of the world sex,Maze Park,Andeok Living Gym,Oedolgae Rock,Yongyeon,Yongduam Rock,Ilchulland,Jeju Haenyeo Museum,Jeju Herb Dongsan,Blue Mountain Coffee theme park,Dongmun Rotary,Jeju 4.3 peace park,Namwon living gym,Jeju rehabilitation hospital,Keuneong,Gangchanghak b Stadium,International Peace Center Jeju,Jeju International Peace Center Jeju,Maehwa Theme Park -1,Maehwa Theme Park  - 2,The Da Vinci Museum,Daeyu industry,Hyodon-ri,Seogwipo all-weather a gate ball ground,Camellia Hill,Samyang-dong site,Seogwipo Citrus Museum,Seogwipo-si  Gungdojang,Seogwipo roller-skating rink,Jeju Sculpture Park,Seogwipo Natural Recreation Forest,Soam the Memorial hyeonjunghwa,Alice's Adventures in Wonderland,Soingook Theme Park,Hwanggeumnyung goldeunhil hub farm -2,Jeju Glass Museum,Hankyong gym,Hwanggeumnyung goldeunhil hub farm -1,267-7 Donggwang-ro,Andeok-myeon,"Seogwipo-si, Jeju-do",eongtto waterfall,Yerae Ecology Experience Center,Jewon Apt,Jeju Greentea,Cheju folklore and national history museum,Sports Stadium,Hyuaeri,Kim Jeong-hui's House of Exile,anti-Japan memorial hall,Korea Baseball Hall of Fame,Gimjeong Cultural Center,Birthplace of Beopjeongsa,Jeju Museum of Art,Gwakjji gwamul beach,Museum of Education,Ido Park,Jeju anti-Japan memorial hall,Jocheon gym,deer ecology observation center,Aewal Ocean Front National Sports Center,Jeju dinosaurs Museum,Jeju chusagwan,natural-lover gallery,Liquorium,Daejeong Culture and Sports Center,Hanlim gym,water transport park,Film Culture center,Aewol gym,ioteu beach,Intercity Bus Terminal
Manjanggul,0,5.544662694023751,18.727652870993666,17.692621348924444,36.59542198409502,36.63709799222735,36.79213500013147,45.61710019897923,37.2435695089313,37.784132883005704,53.2139744426367,27.68453693483402,23.190505753340535,9.555290305971042,26.61681367262696,34.825027910048625,16.745266396262927,16.67457194109362,51.43434726342922,59.228018813943585,49.82321363372111,49.200888046225494,50.00862692736097,58.75448908612095,50.8802298747015,38.09006814401218,45.614883767427536,45.76432881882206,45.183776317398866,45.38063952440942,45.50364452774193,45.44915788195024,47.72507302600313,50.338850021439,57.75416815244557,13340.37456150472,54.102467173451146,3.4303910763963055,51.79922055867859,65.39015080263655,39.557875381131865,39.306977613861385,37.32591219809865,37.60257556942433,49.38613323256607,51.61845680487545,62.22054646944148,25.81697360957554,13340.37456150472,57.767898542479024,36.28419995344103,37.19792637316312,36.80161275677216,36.82721361410116,23.036855380723463,23.151150287225054,19.7956595474423,17.18888884754892,16.479771256855773,28.265357896614763,3.227363783446752,20.702112489980895,20.863567279798037,28.047726789348793,28.17924220293612,30.86989620997665,21.126090893539462,19.087665068730587,18.727652870993666,23.82414474848749,23.14141224718318,13.267271495202834,33.62838543006204,16.964694995951586,36.35344495964632,13.900881169098472,14.008097425676269,39.806959258124905,39.48740283000991,51.09526358024418,38.47535743675212,23.8799625036612,24.111557623252217,17.379369125451806,8.548922518094601,22.4665582328533,17.584822943317803,22.65708610818133,16.5591248210679,28.55376272732596,36.29001395756963,29.097627631472367,38.94746231947006,45.282870313866695,45.282870313866695,52.60600561655772,52.60600561655772,42.67122889083173,44.69591375313004,32.89189729056332,19.88525601016385,22.65708610818133,17.03935546033306,32.426001091395065,36.28750638959995,39.21465735515316,51.72115899117168,37.6585851234995,36.77254443496626,49.5264813339423,49.38613323256607,13340.37456150472,46.49269144333159,60.07018949780723,13340.37456150472,46.89118699905375,50.8802298747015,13340.37456150472,38.36688095407242,47.40241619981765,26.7362194204883,41.840049591997676,22.377994848881855,24.160019323123173,27.5656956996375,55.27327980096197,12.00428484127717,39.120913423894905,39.34863590230467,25.736935897419194,27.475046302157114,44.201618334259685,22.514369737573876,21.363753931332717,12.00428484127717,11.90361662183678,16.369575056305685,33.52441428285601,32.84698927319738,55.27327980096197,19.249775171162124,19.880331184533087,57.815672303473534,48.46409302980032,21.71615651552518,22.864590371713174,41.364112299767264,29.71628239538449,24.014092950075042
Bijarim,5.544662694023751,0,13.293175602220295,12.717090664082066,35.31411978338977,35.36586605982812,35.533101560301944,45.64661001770065,36.17818856300542,36.59604396098196,53.98744382711734,30.353137804116116,26.950835599421882,9.782833960353843,29.610494075594662,37.72975378823094,18.045134502307093,16.078474117087705,53.40079115992401,60.10244158562559,50.546120199775395,49.91248346805522,50.46699484078977,59.70218320663376,51.60617621525839,37.03962732914591,45.84886727635427,45.924396587864585,45.40730943618671,45.638517758264356,45.75724199815196,45.68961976182201,48.72393970796405,51.2373773146022,58.27717427471225,13345.370525311422,54.799941521893835,8.703014767351394,52.448757355179254,65.40448745990409,38.98817640576686,39.62439346770838,36.29573496419924,36.55113790868318,50.60450530498954,54.209194106588065,64.09293637112536,29.188946004200066,13345.370525311422,59.33433407692663,35.22623626153208,35.99005257184783,35.62318861879121,35.63352513701021,26.74422139022483,18.43426054652492,15.26477229011171,13.03339991077013,11.310794707579142,25.203539521879666,8.5890994507986,24.463229634188394,24.647591665402047,24.981251922781667,31.84876628005939,30.074917680599622,24.97507049393478,13.68728410986654,13.293175602220295,18.993240673436233,18.3462191272062,9.888272386990769,31.78224068343357,11.420071592494331,35.273899756619635,9.126556076691852,10.31890752825919,39.20839754803268,38.86167329525637,51.93518604382156,37.43922556387483,27.661275561645574,27.91440937572315,12.313273552229745,6.012814338241974,17.974695172258922,12.594818227520593,26.41050974582145,18.406314169604524,25.73110973535322,35.19276146767627,26.259881792647185,38.56429951113807,45.41636862462667,45.41636862462667,53.90911861267239,53.90911861267239,43.87706427763382,45.35980222739114,31.24331163284453,15.371613983522092,26.41050974582145,21.031594331418983,30.971212797902556,35.23116191510218,38.82246457993871,52.5686262360238,38.261544859043035,35.54201842364797,50.732162002485154,50.60450530498954,13345.370525311422,47.32294768775052,61.93168271565242,13345.370525311422,48.22122010755648,51.60617621525839,13345.370525311422,38.094869286069645,47.74297340315815,30.064168499303495,42.47903472934331,26.003552996421664,27.619632971349244,26.13734381650032,56.30889487222463,16.58716732933372,38.77136212794802,38.800330453478466,29.0639016956171,30.16394111147929,47.27227407834903,26.00594909841094,24.794723170024753,16.58716732933372,16.43811776073019,17.913317080047296,36.88440246403161,35.54994826452152,56.30889487222463,15.563493287983945,15.294248869259942,59.16363580567792,51.146377021247844,25.215077098447605,26.654859874610466,44.540580109055604,33.23675671280848,27.52155167699244
Seopjikoji,18.727652870993666,13.293175602220295,0,4.028987320083813,38.71596089805162,38.78627746087477,38.967084956593304,51.21687976657928,39.99590554839717,40.10385836343342,60.72720677863556,41.096875582481424,39.09720657251214,20.30277623794926,40.800366649751794,48.535665877743696,27.99618672605446,23.70136550912806,62.34203391096421,66.87283776483984,57.29850686359619,56.66496311511377,56.70365856453897,66.62545494279081,58.3288117545821,40.822797131916644,51.82319085066069,51.74693575969003,51.38050427663778,51.66989302656631,51.774805840861305,51.68397004225827,56.06347410690778,58.30386733830687,64.39631672624283,13358.367949232981,61.366634088712004,21.51080057690754,58.994704920194266,70.27948709097525,43.679871313849915,46.07272579864517,40.18246356506454,40.37022779744341,58.28965653976573,64.17248217157714,72.65590838096985,40.8462946891053,13358.367949232981,67.43372708249373,39.13890106474461,39.50223145327291,39.232635348179436,39.2075779170071,38.84211976682608,14.101831190287108,13.176488929808668,8.003105069060394,3.276344056979796,25.3134914231003,21.48101261867447,36.68297876004694,36.883789398986025,25.118425048891943,43.77353149349371,35.04040769485998,37.26408093966343,6.793833825814259,0.0,13.866641438241484,13.635773274467965,14.817596411086697,34.19509157637868,3.421848425173048,39.13454854696376,6.317609622544109,14.177853740793253,43.82399323639556,43.44229369934874,58.8671870522903,41.223859221424085,39.81018610976376,40.07901164460259,9.302119041820669,12.688281482399047,14.886486418336437,9.82425199451857,38.56491052215678,28.973347950689302,26.434410866291437,39.02079161209923,26.830802875335,43.67605967837179,51.2083376224303,51.2083376224303,61.65522756736918,61.65522756736918,51.77276360602115,52.19483473277093,34.18973972191642,13.306843622028332,38.56491052215678,33.56468378824803,34.39875326428598,39.14700724318684,43.89853559485216,59.495140461699705,45.325409222822266,39.04019645107611,58.39003245072039,58.28965653976573,13358.367949232981,54.39611964670765,70.51355891145525,13358.367949232981,56.184783255421884,58.3288117545821,13358.367949232981,43.466666733738386,53.84961148346968,41.64246164107964,49.39412319578576,38.03955908344644,39.426499072632815,30.235913616593468,63.48823215016561,29.63421462000567,43.93927924086268,43.54995447154024,40.67326658096875,40.94251374637935,58.09751665916207,37.90168466238784,36.67076720702168,29.63421462000567,29.462688115280553,28.181419372425445,48.31876694644819,46.14231949315213,63.48823215016561,16.487571606597147,12.939779106840367,66.86280395536782,61.3118619838171,37.14644334453661,38.839670280852296,55.56821599314435,44.95537082106523,39.384035678658414
Seongsanilchul Provincial Marine Park,17.692621348924444,12.717090664082066,4.028987320083813,0,41.816753819817606,41.88424860844845,42.06417376274786,53.96196185685009,43.02917063181014,43.197170188039586,63.2348212783838,42.203163397132734,39.49265587530435,21.176908292039165,41.708032115546,49.65202180865315,29.267502464904176,25.572972548269032,64.21570836954966,69.39380762123758,59.788959310350975,59.152620068448485,59.31982074966869,69.10608348218452,60.8312308670109,43.869844089713624,54.478206974285435,54.43705580010555,54.03338724040179,54.31059272073053,54.419344495979146,54.33350968737863,58.393558688267554,60.71688769162414,67.07055977545389,13358.028138786203,63.92047994006481,20.028934970542657,61.544486594623464,73.25005287235139,46.567422117567844,48.57815744961314,43.20396434191347,43.40648907124409,60.53323025538843,65.68623484020021,74.6812935024942,41.52464224644891,13358.028138786203,69.58822832756128,42.14593702228733,42.58946158805213,42.29903844171559,42.28047333137427,39.26617108107284,17.892491045639822,16.588933993902106,3.9819402194257036,1.8079058923060884,28.787776702927715,20.06160595956477,37.02462286923565,37.21581979465348,28.585150363052648,44.315746759664094,37.78608132666429,37.56363080701567,10.516495524774657,4.028987320083813,17.738317216096803,17.455675896228282,16.85132690800681,37.42724389026682,6.568073278823722,42.15170141128218,3.8407036285494254,16.406522089466034,46.72847195861539,46.35113795381403,61.317844251351325,44.273958211513886,40.20636745689862,40.46629264680557,12.525440339860113,10.331973447426343,18.543239097763053,13.064311445503993,38.95364251960904,30.036572651547953,29.837950526754714,42.04323428617899,30.261447248688317,46.47400579695822,53.90261554486727,53.90261554486727,63.89431649466411,63.89431649466411,53.92613685149076,54.639709331561896,37.327175632347185,16.723534534372366,38.95364251960904,33.68671009812656,37.44923436043206,42.15349573321877,46.70592411611392,61.94975533786619,47.66859324052329,42.12590234501809,60.641733333089434,60.53323025538843,13358.028138786203,56.789937581871605,72.52759358276175,13358.028138786203,58.33939405905158,60.8312308670109,13358.028138786203,46.20571725433874,56.48367317603227,42.365162294818745,51.80263657973378,38.49731913825853,40.019052100930054,33.095036639327425,65.89078051742825,29.29546020666433,46.726980771153364,46.42437854933653,41.3757586929601,42.033129917287965,59.23686373017377,38.43875829065568,37.21295500522062,29.29546020666433,29.150211071649267,29.343545481008068,49.13960926564833,47.339254903343935,65.89078051742825,19.54427882769371,16.383448175662256,69.13249851579617,62.73850724164828,37.66025545319627,39.2104803638525,56.60811854343193,45.616571470204356,39.945897920187704
Jeongbang Waterfall,36.59542198409502,35.31411978338977,38.71596089805162,41.816753819817606,0,0.08186269822095339,0.2560689258874546,13.673540964320665,1.6339747478436635,1.3899298783711314,24.037882078673636,24.238779262046982,30.25066456464692,27.060673938156967,26.077247322749546,27.61461573099203,22.001326022569458,19.936835315834536,30.353628520395183,29.813609466673757,20.96891752770823,20.410657866746092,19.587483464292387,29.79955412042937,21.83488405918145,2.248493252890275,14.830794238516816,14.519043285706173,14.447449580846587,14.795380302435357,14.861886702675406,14.74424072155353,21.085815980282792,22.43885922150812,26.652845037106314,13335.176080379026,24.361400771303398,39.164550796434575,22.14740760767935,31.61859239850492,5.915482404771108,11.457413089073597,1.8906363286607848,1.9138157943693679,23.733778077371035,35.09053383341769,38.45946550376158,28.28087228723686,13335.176080379026,32.680911492657145,1.49078130779902,0.8085797668485923,0.7335127640954899,0.6469816901247255,29.90485875358579,25.81024601561544,25.616530538799644,44.81361820420657,40.07419783127244,14.253951500603605,38.82692787289717,29.952914193808063,30.09460030928581,14.387633624503101,30.809903357553292,6.244530260060106,30.491751531179407,32.141103117999585,38.71596089805162,26.55587504782167,26.377292829371967,25.99524530882608,4.886384966765538,35.421860622714206,1.3436690002760026,40.59156199971625,26.0369817874648,5.904520317016017,5.541745371156853,22.68545634548644,2.6117643498836864,30.5027060449523,30.68494704620091,29.423080547906615,41.16645475029808,24.502765763526025,28.895750287835792,30.127129934365232,23.361840693820643,12.875522183508854,1.2367798049804948,12.655064463485893,6.730080746055969,13.999796338110084,13.999796338110084,26.768288950725836,26.768288950725836,19.154690373261694,16.810420888637243,4.543230311752918,25.492646175176287,30.127129934365232,30.987818375374548,4.406588902195592,1.5008886872183036,6.8082147939630335,23.23686078588251,12.738502575649653,0.3951279642782289,23.756282920475197,23.733778077371035,13335.176080379026,19.118415932966336,36.55229494237061,13335.176080379026,22.68108231406061,21.83488405918145,13335.176080379026,7.188117025912641,16.822442974902124,28.167607670196986,14.870492961452394,29.339831097958314,28.57157500097036,9.176943882174488,27.30130523300334,33.66165200376408,7.029555238935088,5.918071302130375,27.988880009940495,24.340516815752093,33.78361941309294,28.587945787202784,28.19904165728366,33.66165200376408,33.44327017772809,22.764307874213305,30.44813524652343,25.498456406866914,27.30130523300334,22.281145729778203,25.879461225558643,31.344430591113284,33.535594486257246,28.57727609709205,30.38152741020353,32.916376877797234,30.233424655884786,28.838993907946417
Xu Fu exhibition,36.63709799222735,35.36586605982812,38.78627746087477,41.88424860844845,0.08186269822095339,0,0.1809875954357244,13.591799865974181,1.5530247948637514,1.3179827505972328,23.956026933643802,24.21278660616448,30.238501692967123,27.10096484475199,26.054697093902053,27.569687992387216,22.02114998571148,19.976651551779796,30.276999064626686,29.73210619007868,20.88718849149882,20.329007498574924,19.505687940110235,29.717854964581147,21.753054573288686,2.167872744487035,14.748973628424762,14.437181469956034,14.365679682208816,14.713628444812906,14.78010613380234,14.66245054011032,21.005715142283695,22.3573965432466,26.572407681565682,13335.100333789682,24.279678235957658,39.20192050811729,22.065563534137457,31.54520750538113,5.833867593557782,11.383547825050233,1.8098687743171762,1.8319531449316977,23.653880958254337,35.01858124788574,38.37852083780908,28.26103647095193,13335.100333789682,32.59978334734717,1.432757473074235,0.730780142271947,0.6546889747591431,0.5665486647367818,29.89304507474679,25.886932628874046,25.688677104997282,44.87818504471975,40.14114446108398,14.333076509517786,38.86416622075507,29.94745711045396,30.088701668633338,14.466492554392824,30.784779580936533,6.257940679249191,30.485160006675212,32.21337168693338,38.78627746087477,26.633336923530873,26.454031711720027,26.053608554173987,4.9670379078836415,35.491110087666385,1.2839618663902546,40.65470906388494,26.097588014646043,5.822682328427005,5.459976591309278,22.603740737782534,2.5324420154811285,30.488763770815144,30.670446290006215,29.49288497029673,41.22045322592294,24.578367812479105,28.965719475155733,30.116380147721895,23.37752633576511,12.954036932220301,1.1811509402481142,12.734422345606044,6.651025492642277,13.917935221593499,13.917935221593499,26.687494008603533,26.687494008603533,19.08105560498665,16.730589208221247,4.6168414512866685,25.56487773235947,30.116380147721895,30.99207464337015,4.468025468456105,1.442649071723998,6.7283988397614465,23.15508562522548,12.672093071529854,0.31354140899051386,23.67625496142616,23.653880958254337,13335.100333789682,19.038201793700146,36.471712362916314,13335.100333789682,22.603487181711937,21.753054573288686,13335.100333789682,7.112108525210857,16.74058031564365,28.145150974675882,14.79383330016943,29.32976420797304,28.55646479548559,9.229179323415618,27.219470271009154,33.6780095797176,6.950348219391878,5.836801769049138,27.969205564109878,24.315197260503435,33.72364767985767,28.577493803280326,28.191939961692373,33.6780095797176,33.45991592906675,22.78300178962948,30.409018148732812,25.45731233497257,27.219470271009154,22.349532131846075,25.95185187124972,31.262780312156952,33.46715283558017,28.569097413068256,30.370265651443084,32.86137093408618,30.203928038742546,28.82432770110477
Chilshimni food specialized street,36.79213500013147,35.533101560301944,38.967084956593304,42.06417376274786,0.2560689258874546,0.1809875954357244,0,13.428087921881945,1.4126724349659006,1.137035486156086,23.795529305399103,24.24420547399173,30.30010761850882,27.254229347954965,26.093864265206,27.55447921140672,22.1434186151548,20.129382332011232,30.158168621601877,29.56537894671876,20.733067075894166,20.17633048001762,19.343014216316195,29.553363886829004,21.59625404455681,1.9965555315671712,14.592593513667532,14.277542310799639,14.210755517117976,14.559115503858559,14.624907492879714,14.507001152102779,20.86767890655765,22.20737551077889,26.399836836962564,13334.985198849072,24.11556554835608,39.35107031205492,21.904431410635762,31.364316645772465,5.682402725056108,11.277685708057378,1.6705443428373077,1.6747496539851519,23.51719153008805,34.91960609651656,38.23376154921244,28.30617630514509,13334.985198849072,32.45334555997608,1.3944378251815015,0.5528163501162647,0.5415164462340559,0.44259713830525527,29.955391780893457,26.06627636790782,25.869664628441264,45.056598322225064,40.32082900186943,14.509205017135987,39.013133397055256,30.022856982368957,30.163208675316408,14.643118934928626,30.81798713814373,6.370977636026866,30.5582569661116,32.39435791219333,38.967084956593304,26.811929352676668,26.63333089793929,26.22741011689962,5.139065206957599,35.67166193364759,1.2419378300228983,40.8322168468094,26.273257163862286,5.666059520920524,5.305612658056374,22.449869928031212,2.356968496378264,30.54660500546364,30.727094735379172,29.6735842044932,41.390050881896805,24.758470060570687,29.14645682783897,30.18094369388188,23.492705020637032,13.131241977894193,1.1534862484700918,12.910076147522334,6.520593273667462,13.759249403394996,13.759249403394996,26.54410722668355,26.54410722668355,18.975674726765263,16.594478602644827,4.797665439810067,25.745864465796988,30.18094369388188,31.08638617171319,4.644680020245526,1.403545161737541,6.593136504029926,22.999911773855928,12.594086482556781,0.19082917417447495,23.538679728241746,23.51719153008805,13334.985198849072,18.89940469173413,36.32997709329862,13334.985198849072,22.480030780414758,21.59625404455681,13334.985198849072,6.997463114785036,16.581391136014705,28.184463810428333,14.67525118811276,29.39576487444563,28.61186381361686,9.397293360252728,27.062408663108034,33.79415144375281,6.818937379314402,5.689784435987777,28.014709381334317,24.348154060477704,33.665609325086166,28.642714330360782,28.264055869969347,33.79415144375281,33.5765578567609,22.903347023027766,30.408705553446268,25.452000677722275,27.062408663108034,22.529814561412355,26.132834774380814,31.110018189880215,33.38122694044812,28.639006398710634,30.433755856651217,32.818190318133084,30.227019143541018,28.880668490110022
Jusangjeolli,45.61710019897923,45.64661001770065,51.21687976657928,53.96196185685009,13.673540964320665,13.591799865974181,13.428087921881945,0,12.07651536399907,12.422841061323096,10.390682900192504,24.44273114613196,31.979275004469567,36.29195204896569,26.589947254316257,23.857313870140903,29.10641002609819,29.568258052778678,18.658572579162847,16.159523939571784,7.535007778824988,7.05909093486357,5.918328219013141,16.12698819050242,8.285669375722007,11.443396478131291,1.6880717414041042,1.0979603812649363,1.6265714326280893,1.881527488919077,1.84476794287025,1.7365453456323663,8.636502196570612,9.165444071786236,13.22220559126134,13322.822963033108,10.688119105769012,47.53871080791847,8.493368026294418,19.791533223000464,7.847759532487033,6.560836277719152,11.833094167203472,11.76314073328274,11.19560404823258,24.50885932083018,25.222422975860212,28.97143246483198,13322.822963033108,19.418248388525143,12.70076215380474,12.890784029237128,12.97743833453406,13.044330309902005,31.721871085968832,39.07255522957226,38.43709531787568,56.576721958124814,52.17021177101561,27.77992722614727,47.194140112876084,32.755132005875865,32.8163039095251,27.89452620028005,30.340463371992293,16.185378214150436,33.071180475828164,44.91136067935962,51.21687976657928,39.887498263409526,39.64153437917937,37.35445176342538,18.534359114660614,47.829569805336995,12.760159703933397,52.22645662278729,37.64022085568159,7.801159518236183,8.17998975718396,9.233381034791668,11.120650002362114,31.92297891661212,31.998089816636437,41.95639839135929,51.65751379866153,37.670794196453215,41.45296700476888,32.09112808129757,29.798850082326883,26.368445658526962,12.894222560065808,26.204443211380273,7.569089247562314,0.8988782324427502,0.8988782324427502,13.72772028173811,13.72772028173811,9.776681537614689,5.231422147867158,17.94227180460303,38.3231198010766,32.09112808129757,35.157704137308805,17.336580457745185,12.690342679155615,7.364428338225707,9.729573494180894,8.815074560628279,13.281716172061994,11.15919579594058,11.19560404823258,13322.822963033108,6.822500325333703,23.45295707485636,13322.822963033108,11.17781120087736,8.285669375722007,13322.822963033108,7.757449840180033,3.258740676210442,28.435360735775284,5.952658232751645,31.48672802291491,29.99859026630071,20.99869416659486,13.715839785850632,39.39133057090486,7.294212422934815,7.9113987016174,28.73935881513352,24.641600500954244,26.19318208972211,30.75026740961451,30.918739294340284,39.39133057090486,39.22618471533465,29.648060265689644,27.488303967245297,22.783172846479154,13.715839785850632,34.778794312318865,38.72156542062603,17.86306168169979,23.936499679536524,31.09325024405501,32.24082675822369,26.49658556060322,29.05955863953071,30.30879203814461
Cheonjiyeon Waterfall,37.2435695089313,36.17818856300542,39.99590554839717,43.02917063181014,1.6339747478436635,1.5530247948637514,1.4126724349659006,12.07651536399907,0,0.9634326118958475,22.426080488668596,23.543286560130152,29.814781277259247,27.689873588542717,25.445162130786237,26.5555848651987,22.219325487985902,20.570041806358713,28.758775884751227,28.228854912845293,19.34190018822851,18.78151668436246,17.98427012260799,28.203111565565226,20.21303357428515,0.8623162657108701,13.208673360276387,12.905814854362855,12.822348896862218,13.169476307703388,13.237267375954705,13.120136676141675,19.455217078509182,20.806828258103636,25.11390709383205,13333.590226604867,22.76375719078186,39.72019486673384,20.53795610959837,30.288174725972148,4.28678189909777,9.907339387014208,0.2579229299366098,0.37895073295984244,22.104542042460434,33.56083272597771,36.82550476320757,27.698075482112955,13333.590226604867,31.047056403305625,0.9596393000520574,0.9693663620610868,0.9087845574946621,0.9874530115346257,29.47627286088705,27.2526579245845,26.946097172961345,45.95741588767085,41.27444810930679,15.768439134776655,39.38006600628015,29.6493093377576,29.78208414688619,15.894660704245641,30.121769951857164,6.474344906850896,30.165033750079868,33.47033537795892,39.99590554839717,28.018516587989772,27.82084846963622,27.01153869761061,6.458190086616461,36.677694177793136,0.9046808990701367,41.70451426417144,27.10253255715103,4.287111047342599,3.9189048982000467,21.05796444879933,1.2657263334268145,30.031693147684333,30.202798545725077,30.69481716078708,42.07590956290587,25.91788850292214,30.171660490066735,29.71910787862538,23.49275734878743,14.374707664271229,0.995137055421653,14.177449919724067,5.1104319910381655,12.383777205117621,12.383777205117621,25.134530080697044,25.134530080697044,17.60327144153313,15.181806296332107,5.961867532025731,26.824328581916003,29.71910787862538,30.875709981149566,5.597472565486114,0.9561345828090393,5.180615448193994,21.611581323569595,11.31179627183101,1.2402159785550848,22.126135255952928,22.104542042460434,13333.590226604867,17.487133650068525,34.91915205195212,13333.590226604867,21.074925636944577,20.21303357428515,13333.590226604867,5.610832257069364,15.20737455945425,27.534196666417227,13.27747140119449,28.946289977339827,28.08035708260079,10.118263396804037,25.679763324736168,33.7897283971435,5.408025564419566,4.284863538563197,27.40963221560587,23.657840418245346,32.45024068172607,28.187924868052114,27.865542082321355,33.7897283971435,33.577432123795916,22.957509357267178,29.49462080662882,24.512358622743037,25.679763324736168,23.525359263742022,27.214727206103586,29.715138912561603,32.06074310338768,28.221977525787302,29.96313028633439,31.670426835075784,29.462150253531206,28.356066157627296
Saeyeongyo office,37.784132883005704,36.59604396098196,40.10385836343342,43.197170188039586,1.3899298783711314,1.3179827505972328,1.137035486156086,12.422841061323096,0.9634326118958475,0,22.807021129816142,24.49643919315176,30.73256391258639,28.237600057593582,26.391903372012834,27.51184759286354,22.94748020153702,21.112060463777983,29.446325771200744,28.532639612685767,19.789746138491065,19.243264660300234,18.341168885767857,28.5360099384142,20.634064250203235,1.0190932570185867,13.638370705809875,13.300578846761194,13.267246200925111,13.618087069751956,13.678976188609367,13.559437839503072,20.033854363860456,21.29129557146909,25.326806205362814,13334.281959822669,23.102008466760363,40.3080855251258,20.91222145533832,30.229099022669516,4.795368133815365,10.681404109904514,1.1406344484459894,0.9411921636905665,22.69049985143994,34.335320213291745,37.34771140281553,28.638982950664317,13334.281959822669,31.557471824661885,1.6834071596404896,0.6127231291999056,0.9825456093244326,0.9630894242656751,30.39262718467847,27.189884023403174,27.006396344840628,46.18186580513617,41.45265816914124,15.612497035174732,39.96911756947181,30.539801625357484,30.6746194677923,15.749543609701464,31.075074402618228,7.163016980909807,31.060812972242136,33.53100451226911,40.10385836343342,27.930335751773818,27.756613735690408,27.328061088662967,6.224686087532674,36.80750630099296,1.561290558268938,41.952688672454435,27.384138409693076,4.738139059746564,4.39952628924965,21.50737522901485,1.302364144019299,30.95580077373234,31.128842482518518,30.810003250013555,42.46619027376256,25.887513808919863,30.283009716408944,30.631596807004666,24.253793626642274,14.241612229036873,1.5757231631510058,14.010746903074137,5.7846600416185945,12.789623650693857,12.789623650693857,25.67076762767351,25.67076762767351,18.36261518352303,15.778276024092891,5.932792626231429,26.882537406545165,30.631596807004666,31.71755533939988,5.764862632847906,1.6855742955237936,5.82060218469084,22.048247683102428,12.178661776579878,1.0748078268550274,22.70602124304675,22.69049985143994,13334.281959822669,18.062199450294603,35.46444975509505,13334.281959822669,21.742687464489254,20.634064250203235,13334.281959822669,6.370669511373178,15.605591351814978,28.48143451217356,13.981726965988754,29.85576058908916,29.007505881483898,10.471553021598407,26.096402818842268,34.55573449341569,6.072602792323259,4.8376123131131825,28.350007609142526,24.609769227227787,33.346007456478745,29.09849496611064,28.762213490616606,34.55573449341569,34.34122053879644,23.69548943361918,30.457186152300196,25.4738992286876,26.096402818842268,23.664548735077286,27.26938304740902,30.17203562507329,32.882343031989244,29.123426396300633,30.87766472364629,32.59398208141814,30.421775922459794,29.281878424947138
