Location,Latitude,Latitude
Manjanggul,33.528486,126.771481
Bijarim,33.49136,126.811377
Seopjikoji,33.423542,126.929327
Seongsanilchul Provincial Marine Park,33.458056,126.9425
Jeongbang Waterfall,33.244852,126.571803
Xu Fu exhibition,,
Chilshimni food specialized street,,
Jusangjeolli,33.237755,126.425067
Cheonjiyeon Waterfall,33.246944,126.554417
Saeyeongyo office,,
Sanbangsan Mountain,33.241944,126.311667
The mystery of the road,37.016865,-122.002508
Jejumok government office,36.360827,127.385408
Jeju Natural World Heritage Center,33.457031,126.7143
Halla Arboretum,33.469927,126.493244
Historic Site of Anti-Yuan Movement,37.663998,127.978458
Jeolmul Natural Recreation Forest,33.436967,126.628163
Bulgeun Oreum Natural Recreation Forest,33.403107,126.682779
Museum of Contemporary Art,37.431223,127.020416
11Course,33.489011,126.498302
The Museum of Sex Health,33.254886,126.346699
Andeok Valley,,
9Course,37.726139,-122.492659
Daejeong-eup,33.226815,126.252225
Andeok-myeon,33.24968,126.337148
7Course,33.250569,126.416642
Jungmun Tourist Complex,,
Jungmun Marine Park Pacificland,,
Cheonjeyeon Falls,,
Ripley's Believe It or Not! Museum,,
Teddy Bear Museum,,
Play K-Pop Jeju,,
World Car Museum,33.283195,126.349772
Hwasun Gotjawal eco-tourism attractions forest,35.064503,126.98648
Songaksan,33.199444,126.290556
Footprints hwaseokjji Management Office,,
Four Seasons beach,,
Four Seasons coast road,,
Hwasun golden sand beach,,
Mara Provincial Marine Park,33.51824,126.523152
Seogwipo Cross-country Bus Terminal,33.251855,126.560339
Seogwipo Astronomical Science and Culture Center,33.289315,126.459738
Museum of world shell,33.247516,126.55173
Gidang Art Museum,37.564025,126.973779
Soingook Theme Park,33.290437,126.322496
hyeopjjae beach,33.393962,126.239098
Suwolbong Peak,33.293735,126.162815
Sinjeju Rotary,33.485257,126.489703
off-season training camp,,
Jeju pottery Museum,33.513464,126.548959
Jeju kanran exhibition,,
The culture street of pine park,33.245849,126.564951
Lee Joong-sup street,,
Seogwipo City Lee Joong-sup Art Gallery,,
Jungangno cross road,33.451163,126.487807
Pyoseon-myeon,33.321815,126.830596
Pyoseon daily gym,,
1Course,37.784087,127.089707
2Course,33.485143,126.530802
5Course,,
Gujwa gym,33.524865,126.853365
Jeju National Museum,37.63674,127.103394
Jeju National Sports Center,,
Namwon-eup,35.416357,127.390488
Dodubong Park,33.506695,126.474428
Donnaeko,33.299735,126.584301
Sarabong Park,33.518,126.544
Seongsan-eup,33.423542,126.929327
Sinyang seopjikoji the beach,,
Jeju Folk Village Museum,33.322511,126.841868
Pyoseon Haevichi beach,,
Pyoseon Haevichi beach,33.321815,126.830596
Jeju Pony Town,,
Hayo soesokkak the beach,33.252545,126.623521
Honinji Pond,33.411027,126.898793
Jungang Rotary,33.252777,126.560549
Seongsanpo Shell Museum,33.247516,126.55173
