,Manjanggul,Bijarim,Seopjikoji ,Seongsanilchul Provincial Marine Park,"Jeongbang Waterfall, Xu Fu exhibition, Chilshimni food specialized street",Jusangjeolli,"Cheonjiyeon Waterfall, Saeyeongyo office",Sanbangsan Mountain,The mystery of the road,Jejumok government office,Jeju Natural World Heritage Center,Halla Arboretum,Historic Site of Anti-Yuan Movement,Jeolmul Natural Recreation Forest,Bulgeun Oreum Natural Recreation Forest,Museum of Contemporary Art,11Course,"The Museum of Sex Health, Andeok Valley",9Course,Daejeong-eup,Andeok-myeon,"7Course, Jungmun Tourist Complex, Jungmun Marine Park Pacificland, Cheonjeyeon Falls, Ripley's Believe It or Not! Museum, Teddy Bear Museum, Play K-Pop Jeju",World Car Museum,Hwasun Gotjawal eco-tourism attractions forest,"Songaksan, Footprints hwaseokjji Management Office, Four Seasons beach, Four Seasons coast road, Hwasun golden sand beach",Mara Provincial Marine Park,Seogwipo Cross-country Bus Terminal ,Seogwipo Astronomical Science and Culture Center, Museum of world shell,Gidang Art Museum,Soingook Theme Park,hyeopjjae beach ,Suwolbong Peak,Sinjeju Rotary,off-season training camp,Jeju pottery Museum,Jeju kanran exhibition,"The culture street of pine park, Lee Joong-sup street, Seogwipo City Lee Joong-sup Art Gallery",Jungangno cross road,"Pyoseon-myeon, Pyoseon daily gym",1Course,2Course,5Course,Gujwa gym,"Jeju National Museum, Jeju National Sports Center",Namwon-eup,Dynamic maize,Dodubong Park ,Donnaeko,Sarabong Park,"Seongsan-eup, Sinyang seopjikoji the beach","Jeju Folk Village Museum, Pyoseon Haevichi beach",Pyoseon Haevichi beach,Jeju Pony Town,Hayo soesokkak the beach,Honinji Pond,Jungang Rotary,Seongsanpo Shell Museum,Pony Valley,Museum of the world sex,Maze Park,Andeok Living Gym,Oedolgae Rock,"Yongyeon, Yongduam Rock",Ilchulland,Jeju Haenyeo Museum ,Jeju Herb Dongsan,Blue Mountain Coffee theme park,Dongmun Rotary,Jeju 4.3 peace park,Namwon living gym,Jeju rehabilitation hospital,Keuneong,Gangchanghak b Stadium,International Peace Center Jeju,Jeju International Peace Center Jeju,Maehwa Theme Park -1,Maehwa Theme Park -2,The Da Vinci Museum,Daeyu industry,Hyodon-ri,Seogwipo all-weather a gate ball ground,Camellia Hill,Samyang-dong site,Seogwipo Citrus Museum,Seogwipo-si  Gungdojang,Seogwipo roller-skating rink,Jeju Sculpture Park,Seogwipo Natural Recreation Forest,Soam the Memorial hyeonjunghwa,"Alice's Adventures in Wonderland, Soingook Theme Park",Hwanggeumnyung goldeunhil hub farm -2,Jeju Glass Museum,Hankyong gym,Hwanggeumnyung goldeunhil hub farm -1,Toy Park,eongtto waterfall ,Yerae Ecology Experience Center,Jewon Apt,Jeju Greentea,Cheju folklore and national history museum,Sports Stadium,Hyuaeri,Kim Jeong-hui's House of Exile,anti-Japan memorial hall,Korea Baseball Hall of Fame,Gimjeong Cultural Center,Birthplace of Beopjeongsa,Jeju Museum of Art,Gwakjji gwamul beach,Museum of Education,Ido Park,"Jeju anti-Japan memorial hall, Jocheon gym",deer ecology observation center,Aewal Ocean Front National Sports Center,Jeju dinosaurs Museum ,Jeju chusagwan,natural-lover gallery,Liquorium,Daejeong Culture and Sports Center,Hanlim gym,water transport park ,Film Culture center,Aewol gym,ioteu beach,Intercity Bus Terminal
Manjanggul,0,0.077300613,0.047852761,0.469325153,0.016564417,0.007361963,0.017177914,0.001226994,0.006748466,0.012883436,0.009815951,0,0,0.003067485,0.001226994,0,0,0.000613497,0,0,0.004294479,0.00797546,0,0,0.002453988,0,0.005521472,0,0.002453988,0,0.000613497,0.003067485,0.000613497,0.006134969,0.000613497,0,0.001226994,0.014110429,0.006134969,0.010429448,0.010429448,0.000613497,0.000613497,0.037423313,0.006134969,0.001226994,0.009202454,0.000613497,0.001840491,0,0.041717791,0.012269939,0.005521472,0.002453988,0.005521472,0,0.005521472,0,0.001226994,0,0.001226994,0,0.000613497,0.028220859,0.001840491,0.031288344,0.000613497,0.001226994,0.006748466,0.003680982,0,0,0,0,0,0,0,0,0.000613497,0,0.000613497,0,0.000613497,0.002453988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006134969,0,0.004294479,0,0.001226994,0,0.001840491,0,0,0,0.001226994,0.000613497,0.000613497,0,0,0,0,0,0,0.000613497,0.000613497,0,0,0,0,0.000613497,0.005521472,0.017791411
Bijarim,0.098804781,0,0.071713147,0.192031873,0.013545817,0.010358566,0.023904382,0.001593625,0,0.010358566,0.00876494,0.001593625,0.000796813,0.006374502,0.002390438,0,0,0.001593625,0,0,0.00876494,0.007968127,0,0,0.005577689,0,0.007968127,0.000796813,0.007968127,0,0.000796813,0.003187251,0.000796813,0.003187251,0.001593625,0,0.001593625,0.011952191,0.002390438,0.02310757,0.012749004,0.004780876,0.002390438,0.031075697,0.003187251,0.003984064,0.016733068,0.003984064,0.002390438,0.003187251,0.107569721,0.018326693,0.011155378,0.006374502,0.009561753,0.001593625,0.003187251,0.001593625,0.003187251,0,0.000796813,0,0.002390438,0.02310757,0.015139442,0.056573705,0.00876494,0.007171315,0.000796813,0.007968127,0.000796813,0,0.001593625,0,0,0,0,0,0.000796813,0.000796813,0.002390438,0,0.002390438,0.003984064,0.000796813,0.000796813,0,0.000796813,0,0,0,0,0.000796813,0.000796813,0,0,0.002390438,0.000796813,0.002390438,0,0.003187251,0,0.000796813,0,0.003187251,0,0,0,0,0.002390438,0,0,0.000796813,0,0,0,0,0.000796813,0.001593625,0,0.050199203,0,0,0.003187251,0.006374502,0.003984064
Seopjikoji ,0.013979031,0.018472292,0,0.19404227,0.011649193,0.011316359,0.016475287,0.000665668,0.001497753,0.00282909,0.000665668,0.001331336,0,0.002662673,0.000832085,0.000166417,0,0.000998502,0,0,0.001164919,0.003494758,0,0,0.000998502,0,0.001331336,0,0.00166417,0,0,0.000499251,0.000332834,0.000832085,0.000166417,0,0.000332834,0.005158928,0.000665668,0.012314861,0.005158928,0.003328341,0.000998502,0.000832085,0.000832085,0.001331336,0.003161924,0.002496256,0.000332834,0.000166417,0.588117823,0.015643202,0.009152937,0.001830587,0.00732235,0.00282909,0.000166417,0.000332834,0.005491762,0,0.001331336,0,0.00282909,0.00732235,0.010317857,0.002496256,0.004659677,0.00282909,0.000998502,0.001497753,0,0,0.000832085,0,0,0,0,0,0.000332834,0,0,0,0.000665668,0,0.000332834,0,0,0.000332834,0,0,0,0,0,0,0,0,0.000332834,0,0.001830587,0,0.000499251,0,0.000166417,0,0,0,0,0,0.000166417,0,0,0,0.000166417,0.000166417,0,0.000665668,0,0.000166417,0.000332834,0,0,0,0,0,0.001497753,0.001164919
Seongsanilchul Provincial Marine Park,0.063945956,0.02276513,0.222654081,0,0.015454377,0.041458449,0.037479178,0.0015732,0.002220988,0.005182306,0.001480659,0.002868777,0.000185082,0.002868777,0.000925412,0,0,0.000647788,0.000185082,9.25E-05,0.002776235,0.014806589,9.25E-05,0,0.001480659,9.25E-05,0.006200259,0,0.006940589,0,0,0.000370165,9.25E-05,0.001850824,0.000462706,0,0.001017953,0.012215436,0.00231353,0.017582824,0.024245789,0.007403294,0.001017953,0.005089765,0.001943365,0.001850824,0.006755506,0.002498612,0.000740329,0.000277624,0.320285027,0.022117342,0.0062928,0.002220988,0.007310753,0.001665741,0.004164353,0.000277624,0.002961318,0.000185082,0.000370165,0,0.002961318,0.014343883,0.009346659,0.015176754,0.0031464,0.001017953,0.005830094,0.003516565,0,9.25E-05,0.001110494,0,0.000740329,0.000370165,0,0.000370165,0.001295577,0,0.000647788,0.000370165,0.000647788,0.000277624,0.000370165,9.25E-05,9.25E-05,9.25E-05,9.25E-05,0,0,0,0.000277624,0,0,9.25E-05,0,9.25E-05,0.006200259,9.25E-05,0.002961318,0,0.000370165,0,0.000277624,0,9.25E-05,0,0,0.000555247,0,0,0.000370165,0,0.006385341,0.000185082,0,9.25E-05,0.000185082,0,0,9.25E-05,9.25E-05,0.000647788,0.001480659,0.007495836
"Jeongbang Waterfall, Xu Fu exhibition, Chilshimni food specialized street",0.003365385,0.000600962,0.007932692,0.015745192,0,0.049639423,0.205649038,0.009254808,0.001201923,0.000480769,0.000841346,0.000120192,0.000240385,0.000600962,0.000120192,0.000240385,0.000120192,0.003004808,0.000841346,0.000480769,0.006370192,0.038822115,0.001201923,0.000360577,0.006490385,0.000240385,0.016346154,0.000360577,0.034254808,0.002644231,0.001201923,0.002403846,0.000360577,0.000480769,0.000721154,0,0.002283654,0.304326923,0.000480769,0.004807692,0.000480769,0.000120192,0.0015625,0.000240385,0.000240385,0.006610577,0.000961538,0.000480769,0.004567308,0,0.012980769,0.007091346,0.003004808,0.000841346,0.055408654,0.000120192,0.018509615,0,0.000240385,0.001081731,0.003725962,0.000360577,0.030769231,0.003365385,0.000600962,0.000480769,0.001322115,0.000120192,0.0421875,0.000360577,0.001201923,0.010096154,0.0015625,0.000120192,0.000360577,0,0,0.000120192,0.000600962,0.000721154,0.008653846,0.004807692,0.004086538,0.000120192,0.005889423,0.000360577,0.000120192,0.000240385,0.001201923,0.024639423,0.000360577,0.000240385,0.000240385,0.000360577,0.000120192,0.000360577,0.000480769,0,0.002283654,0.000240385,0.000480769,0.000120192,0.001923077,0,0,0.000480769,0.000841346,0.000120192,0.000240385,0.001442308,0,0,0,0,0,0.000120192,0,0.000240385,0.000480769,0,0,0,0,0,0.000721154,0.000721154
Jusangjeolli,0.002650897,0.000611746,0.009584013,0.015497553,0.064641109,0,0.112153344,0.071166395,0.008360522,0.005097879,0.000203915,0.003262643,0.00040783,0.000611746,0.00040783,0.000203915,0,0.012642741,0.002446982,0.000611746,0.0295677,0.327487765,0.003874388,0.001223491,0.032830343,0.001427406,0.006525285,0.001019576,0.01774062,0.000203915,0.007748777,0.004078303,0.003058728,0.003058728,0.00040783,0,0.01182708,0.027324633,0.001427406,0.001019576,0,0,0.001019576,0.000203915,0.001223491,0.000611746,0.001019576,0.002039152,0.001427406,0.00040783,0.005709625,0.004486134,0.001631321,0.000203915,0.013662316,0.000611746,0.003466558,0,0,0.00040783,0.014885808,0,0.054853181,0.024469821,0.00040783,0,0.001223491,0,0.002243067,0.001427406,0.000203915,0.000611746,0.000815661,0,0.011215334,0.002243067,0.000203915,0.000815661,0.002243067,0.001223491,0.00040783,0.002039152,0.012438825,0.00040783,0.001835237,0,0,0.004078303,0.001223491,0.000815661,0.000815661,0.000203915,0.001223491,0,0.000611746,0.00040783,0.001427406,0.000203915,0.006117455,0.001223491,0.001631321,0.000203915,0.000815661,0.001631321,0,0,0,0,0.000203915,0.002854812,0.00040783,0,0,0.000203915,0.000203915,0,0,0,0,0,0.001427406,0,0,0,0.003670473,0.001631321
"Cheonjiyeon Waterfall, Saeyeongyo office",0.001057502,0.001982816,0.007534699,0.01440846,0.230006609,0.105089227,0,0.008988764,0.001321877,0.00171844,0,0.001057502,0.000132188,0.000528751,0.000793126,0.000396563,0.000264375,0.004362194,0.000528751,0.000528751,0.011368143,0.045604759,0.003965631,0,0.009914078,0.000528751,0.010178453,0.000396563,0.047058824,0.002775942,0.003965631,0.002643754,0.000660939,0.00171844,0.000132188,0,0.010310641,0.221678784,0.000396563,0.003040317,0,0.000132188,0.001454065,0.000528751,0.000132188,0.00343688,0.000660939,0.001321877,0.001982816,0.000132188,0.008327826,0.004494382,0.003569068,0.000132188,0.017580965,0,0.024322538,0,0.000132188,0.000925314,0.006609385,0.000132188,0.064904164,0.003172505,0.00171844,0.000264375,0.002247191,0.000396563,0.018374091,0,0.000132188,0.002775942,0.001586252,0,0.000925314,0.000396563,0,0.000396563,0.002379379,0.001189689,0.015862525,0.012557832,0.017448777,0,0.00462657,0.000132188,0.000264375,0.001321877,0.000793126,0.001189689,0.000132188,0,0.000660939,0,0,0.000132188,0.001189689,0.000132188,0.002379379,0,0.000264375,0,0.001321877,0.000132188,0,0,0.001057502,0.000132188,0,0.001454065,0,0.000132188,0.000132188,0,0,0,0,0,0.000264375,0,0,0,0,0,0.001321877,0.001057502
Sanbangsan Mountain,0.001068833,0.000427533,0.001496366,0.002351432,0.01496366,0.053014109,0.023514322,0,0.001710133,0.001068833,0,0.000427533,0.001496366,0.0006413,0.000213767,0.000427533,0.008978196,0.067977768,0.002137666,0.007909363,0.110089782,0.07781103,0.004061565,0.002565199,0.428815733,0.009191962,0.022659256,0,0.009405729,0.000213767,0.010474562,0.005985464,0.009619496,0.0006413,0.001923899,0,0.004702864,0.012184694,0.000855066,0.001923899,0.000213767,0,0,0,0,0.0006413,0.0006413,0.0006413,0.001496366,0,0.004916631,0.001068833,0.0006413,0,0.002778965,0,0.001496366,0,0,0.000427533,0.003206499,0.004916631,0.010260795,0.001710133,0,0,0.000427533,0,0.001282599,0.000213767,0,0.0006413,0.000427533,0,0.000213767,0.0006413,0.000855066,0.001068833,0.000855066,0,0.000855066,0.000427533,0.008550663,0,0.000855066,0,0,0.019238991,0.001282599,0,0.001068833,0.000855066,0.001496366,0.003206499,0,0.001710133,0.001710133,0,0.001068833,0.000427533,0.000213767,0,0.000213767,0.001710133,0,0.000213767,0,0.0006413,0,0.004702864,0,0,0,0,0,0,0.001710133,0,0,0,0,0,0,0.000427533,0.001282599,0.001496366
The mystery of the road,0.020746888,0,0.01659751,0.074688797,0.024896266,0.10373444,0.029045643,0.045643154,0,0.058091286,0.004149378,0.066390041,0.033195021,0.01659751,0.004149378,0,0.004149378,0.008298755,0,0,0.029045643,0.082987552,0,0,0.008298755,0,0,0.004149378,0,0,0.008298755,0.008298755,0,0.008298755,0.020746888,0,0,0.008298755,0,0.004149378,0,0,0,0,0.008298755,0,0,0.012448133,0,0,0.01659751,0,0,0,0.004149378,0,0,0,0.004149378,0,0,0,0.004149378,0.078838174,0,0,0.008298755,0,0,0,0,0,0,0,0,0,0,0,0.004149378,0,0,0,0.029045643,0.004149378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004149378,0,0,0,0,0,0,0,0,0.033195021,0.058091286,0.012448133,0,0,0,0.008298755,0,0,0,0,0,0,0,0,0,0,0.01659751,0
Jejumok government office,0.014388489,0.005395683,0.007194245,0.059352518,0.010791367,0.005395683,0.008992806,0.012589928,0.005395683,0,0.001798561,0.007194245,0.003597122,0.014388489,0,0,0,0.001798561,0,0.003597122,0.012589928,0.014388489,0,0.001798561,0.005395683,0,0.003597122,0,0.003597122,0,0,0.007194245,0.001798561,0.04676259,0.026978417,0,0.003597122,0.012589928,0.120503597,0.014388489,0.001798561,0,0,0,0.023381295,0.005395683,0,0.039568345,0,0.021582734,0.014388489,0.003597122,0.005395683,0.008992806,0.001798561,0,0.007194245,0,0.005395683,0,0,0,0.001798561,0.21942446,0,0.001798561,0.001798561,0,0.003597122,0.005395683,0,0,0,0,0,0,0,0.003597122,0.001798561,0,0,0,0.003597122,0.012589928,0,0.001798561,0,0.001798561,0,0,0,0.001798561,0,0,0,0,0,0.001798561,0.03057554,0,0.052158273,0,0.001798561,0.005395683,0.003597122,0,0,0,0.012589928,0.003597122,0.003597122,0,0,0.001798561,0.005395683,0,0,0,0,0,0.003597122,0.001798561,0,0,0.025179856,0.010791367
